,assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
0,20,5,18,,0,50,5,Heiskanen,0,10,8480036,7,25,0.5,D,0,7,20242025,0,0,0.04629,L,108,Miro Heiskanen,DAL,1509.62
1,17,12,21,0.51278,2,60,13,Frost,0,22,8480028,-14,30,0.5,C,1,9,20242025,0,0,0.12149,L,107,Morgan Frost,"PHI,CGY",922.95
2,2,2,4,,0,20,2,Tucker,0,30,8481006,-1,4,0.2,D,0,0,20242025,0,0,0.10526,L,19,Tyler Tucker,STL,784.05
3,29,1,20,,0,64,1,Grzelcyk,0,8,8476891,-12,30,0.46875,D,0,10,20242025,0,0,0.01298,L,77,Matt Grzelcyk,PIT,1209.2031
4,0,0,0,,0,2,0,Sebrango,0,0,8482131,-1,0,0.0,D,0,0,20242025,0,0,,L,0,Donovan Sebrango,OTT,618.5
5,12,5,15,0.53497,2,62,6,Carrick,1,50,8475842,4,18,0.29032,C,0,0,20242025,1,3,0.09836,R,61,Sam Carrick,NYR,686.4032
6,1,0,1,0.6,0,5,0,Hryckowian,0,0,8484829,1,1,0.2,C,0,0,20242025,0,0,0.0,L,3,Justin Hryckowian,DAL,472.8
7,10,14,21,0.19047,4,53,17,McMann,0,18,8482259,5,27,0.50943,C,3,6,20242025,0,0,0.13934,L,122,Bobby McMann,TOR,879.7547
8,0,1,1,0.43243,0,8,1,Laczynski,0,6,8479550,-1,1,0.125,C,0,0,20242025,0,0,0.5,R,2,Tanner Laczynski,VGK,516.0
9,9,1,10,,0,51,1,Thrun,0,28,8481567,-16,10,0.19607,D,0,0,20242025,0,0,0.02272,L,44,Henry Thrun,SJS,1019.0588
10,2,1,2,,0,22,1,Johnson,0,11,8473446,-3,3,0.13636,D,0,0,20242025,0,1,0.07142,R,14,Erik Johnson,PHI,798.2727
11,0,0,0,1.0,0,2,0,Malatesta,0,0,8482744,-1,0,0.0,L,0,0,20242025,0,0,,L,0,James Malatesta,CBJ,634.0
12,8,3,10,0.25,0,49,3,Holtz,0,8,8482125,-3,11,0.22448,R,0,1,20242025,0,0,0.04838,R,62,Alexander Holtz,VGK,691.1224
13,22,12,25,,5,57,17,Chychrun,1,36,8479345,21,39,0.68421,D,5,14,20242025,0,0,0.12686,L,134,Jakob Chychrun,WSH,1267.2631
14,3,2,5,0.5,0,36,2,Lazar,0,12,8477508,0,5,0.13888,C,0,0,20242025,0,0,0.08695,R,23,Curtis Lazar,NJD,627.3333
15,6,4,9,0.5,0,50,4,Smith,0,55,8482062,-7,10,0.2,R,0,0,20242025,0,1,0.08695,L,46,Cole Smith,NSH,793.92
16,6,2,7,0.43046,0,15,2,Del Bel Belluz,0,0,8483432,2,8,0.53333,C,0,1,20242025,0,0,0.11111,L,18,Luca Del Bel Belluz,CBJ,825.2
17,18,12,26,0.33333,2,54,14,Holmstrom,0,6,8481601,7,32,0.59259,R,1,3,20242025,1,3,0.20289,L,69,Simon Holmstrom,NYI,992.4444
18,1,1,2,0.66666,0,19,1,Aube-Kubel,0,17,8477979,-4,2,0.10526,R,0,0,20242025,0,0,0.05555,R,18,Nicolas Aube-Kubel,BUF,571.7368
19,8,8,16,0.45512,0,44,8,Fabbri,0,20,8477952,-6,16,0.36363,C,0,0,20242025,0,0,0.12307,L,65,Robby Fabbri,ANA,972.2727
20,0,0,0,,0,2,0,Kemell,0,0,8483465,0,0,0.0,R,0,0,20242025,0,0,0.0,R,8,Joakim Kemell,NSH,620.5
21,0,0,0,,0,2,0,Hakanpää,0,0,8475825,-1,0,0.0,D,0,0,20242025,0,0,0.0,R,2,Jani Hakanpää,TOR,845.0
22,14,5,18,0.56916,0,61,6,Dvorak,0,12,8477989,-11,20,0.32786,C,1,2,20242025,0,0,0.075,L,80,Christian Dvorak,MTL,896.1639
23,29,11,32,0.36818,1,60,13,Buchnevich,0,21,8477402,5,42,0.7,L,2,9,20242025,0,1,0.11304,L,115,Pavel Buchnevich,STL,1134.7166
24,13,8,19,0.46849,1,56,10,Kasper,0,20,8483464,-9,23,0.41071,C,2,4,20242025,0,0,0.10526,L,95,Marco Kasper,DET,894.4464
25,0,0,0,0.57142,0,2,0,Suzuki,0,0,8481576,1,0,0.0,C,0,0,20242025,0,0,,L,0,Ryan Suzuki,CAR,395.5
26,1,0,1,,0,8,1,Smith,0,4,8480883,1,2,0.25,D,1,1,20242025,0,0,0.07142,L,14,Ty Smith,CAR,819.875
27,4,4,8,0.25,1,41,4,Engvall,0,12,8478115,-7,8,0.19512,L,0,0,20242025,0,0,0.09523,L,42,Pierre Engvall,NYI,665.0487
28,21,16,31,0.25,4,61,28,Wilson,2,59,8476880,17,49,0.80327,R,11,16,20242025,1,2,0.20143,R,139,Tom Wilson,WSH,1131.4918
29,0,1,1,,0,3,1,Ford,0,2,8484135,1,1,0.33333,C,0,0,20242025,0,0,0.5,R,2,Parker Ford,WPG,470.0
30,1,0,1,0.38888,0,8,0,Tynan,0,4,8476391,-1,1,0.125,C,0,0,20242025,0,0,0.0,R,4,T.J. Tynan,COL,476.375
31,13,15,28,0.51736,3,59,16,Howden,1,24,8479353,9,29,0.49152,C,0,0,20242025,1,1,0.15533,L,103,Brett Howden,VGK,897.8305
32,21,16,37,0.35,3,50,18,Barbashev,1,8,8477964,18,39,0.78,C,2,2,20242025,0,0,0.21428,L,84,Ivan Barbashev,VGK,1013.94
33,21,10,25,0.33333,3,60,16,Garland,2,31,8478856,-6,37,0.61666,R,6,12,20242025,0,0,0.12307,R,130,Conor Garland,VAN,1130.3333
34,17,3,19,,0,59,3,Gavrikov,0,14,8478882,6,20,0.33898,D,0,0,20242025,0,1,0.03797,L,79,Vladislav Gavrikov,LAK,1429.9322
35,23,12,27,0.56692,3,60,23,Hertl,0,18,8476881,-12,46,0.76666,C,11,19,20242025,0,0,0.15646,L,147,Tomas Hertl,VGK,1033.05
36,0,0,0,,0,1,0,Ginning,0,0,8480874,-1,0,0.0,D,0,0,20242025,0,0,,L,0,Adam Ginning,PHI,768.0
37,6,2,8,,0,50,2,Timmins,0,24,8479982,2,8,0.16,D,0,0,20242025,0,0,0.03921,R,51,Conor Timmins,TOR,977.02
38,10,12,21,0.42857,3,56,13,Sherwood,0,24,8480748,-2,23,0.41071,L,0,1,20242025,1,1,0.12871,R,101,Kiefer Sherwood,VAN,875.2142
39,17,4,19,,0,55,5,Evans,0,18,8482858,-2,22,0.4,D,1,3,20242025,0,0,0.10204,L,49,Ryker Evans,SEA,1186.0545
40,25,18,33,0.5474,6,57,25,Hintz,0,18,8478449,11,50,0.87719,C,6,15,20242025,1,2,0.18939,L,132,Roope Hintz,DAL,1014.7894
41,15,6,21,0.22448,2,61,6,Podkolzin,0,22,8481617,6,21,0.34426,R,0,0,20242025,0,0,0.06976,L,86,Vasily Podkolzin,EDM,775.9508
42,6,9,15,0.4,1,53,11,Robertson,0,6,8481582,-2,17,0.32075,L,2,2,20242025,0,0,0.1279,L,86,Nicholas Robertson,TOR,726.9433
43,18,19,29,0.52941,1,60,24,Toffoli,0,12,8475726,-16,42,0.7,C,5,13,20242025,0,0,0.14035,R,171,Tyler Toffoli,SJS,994.9
44,3,3,6,0.58333,0,54,5,Barron,0,14,8480289,4,8,0.14814,C,0,0,20242025,2,2,0.08196,L,61,Morgan Barron,WPG,621.1851
45,10,8,18,0.44444,2,51,8,Appleton,0,16,8478891,7,18,0.35294,C,0,0,20242025,0,0,0.09523,R,84,Mason Appleton,WPG,881.745
46,5,7,12,0.49236,0,45,9,Lizotte,0,24,8481481,-4,14,0.31111,C,1,1,20242025,1,1,0.21951,L,41,Blake Lizotte,PIT,720.5111
47,7,3,8,,0,33,3,Cholowski,0,10,8479395,1,10,0.30303,D,0,2,20242025,0,0,0.11538,L,26,Dennis Cholowski,NYI,767.5757
48,26,18,35,0.66666,4,53,21,Rust,2,16,8475810,-24,47,0.88679,R,3,12,20242025,0,0,0.15789,R,133,Bryan Rust,PIT,1176.8301
49,0,0,0,,0,7,0,Benning,0,4,8476988,-5,0,0.0,D,0,0,20242025,0,0,0.0,R,7,Matthew Benning,SJS,782.4285
50,0,0,0,0.0,0,3,0,McGroarty,0,0,8483487,-1,0,0.0,R,0,0,20242025,0,0,0.0,L,2,Rutger McGroarty,PIT,697.0
51,13,9,21,0.50717,2,56,10,Copp,0,8,8477429,4,23,0.41071,C,0,1,20242025,1,1,0.14925,L,67,Andrew Copp,DET,882.1428
52,19,8,23,0.35172,1,55,11,Smith,0,10,8484227,-9,30,0.54545,C,3,7,20242025,0,0,0.13095,R,84,Will Smith,SJS,893.0
53,11,6,15,0.46562,0,49,7,Hartman,0,60,8477451,-7,18,0.36734,R,1,3,20242025,0,0,0.0625,R,112,Ryan Hartman,MIN,885.8775
54,0,0,0,,0,12,0,Leddy,0,0,8475181,2,0,0.0,D,0,0,20242025,0,0,0.0,L,12,Nick Leddy,STL,1150.75
55,0,0,0,,0,1,0,Sabourin,0,0,8477149,-2,0,0.0,R,0,0,20242025,0,0,,R,0,Scott Sabourin,SJS,627.0
56,3,4,6,0.37158,1,31,6,Svechkov,0,4,8482768,-11,9,0.29032,C,2,3,20242025,0,0,0.14634,L,41,Fedor Svechkov,NSH,722.6129
57,7,5,11,0.54255,1,61,5,Cizikas,0,38,8475231,-12,12,0.19672,C,0,1,20242025,0,0,0.07462,L,67,Casey Cizikas,NYI,767.8196
58,6,1,6,0.33333,0,29,1,Kostin,0,25,8480011,-3,7,0.24137,C,0,1,20242025,0,0,0.05,L,20,Klim Kostin,SJS,623.1724
59,4,1,3,,0,11,1,Doughty,0,8,8474563,0,5,0.45454,D,0,2,20242025,0,0,0.05263,R,19,Drew Doughty,LAK,1515.4545
60,15,6,16,0.46883,1,42,9,Eriksson Ek,0,20,8478493,5,24,0.57142,C,3,8,20242025,0,0,0.07317,L,123,Joel Eriksson Ek,MIN,1177.9761
61,24,18,29,0.48936,4,61,29,DeBrincat,1,14,8479337,-14,53,0.86885,R,11,24,20242025,0,0,0.17058,R,170,Alex DeBrincat,DET,1062.6721
